Flag1,Flag2,Flag3,Flag4,Flag5,Name,Address,City,State,Zip
true,true,true,true,true,Angel Crandon,1550 Stuart Park,Schenectady,NY,12325
true,true,true,true,true,Deck Annies,068 Kenwood Crossing,Omaha,NE,68110
true,true,true,true,true,Maressa Pally,5892 Sage Parkway,Appleton,WI,54915
false,false,false,true,false,Goldi Tubby,413 Hintze Park,Brockton,MA,02305
false,false,false,true,false,Phoebe Soppett,230 Prairieview Way,Salt Lake City,UT,84152
false,false,false,true,false,Benito Mulvaney,21349 International Hill,Santa Ana,CA,92725
true,false,true,true,false,Dill Titchard,447 Susan Lane,Shawnee Mission,KS,66215
true,false,true,true,false,Lorenza Naris,067 Bartillon Parkway,Chattanooga,TN,37410
true,false,true,true,false,Willis Labarre,100 Sachs Court,East Saint Louis,IL,62205
true,true,true,false,true,Otho Bearfoot,3266 Glacier Hill Trail,Gatesville,TX,76598
true,true,false,false,false,Cher Cisec,41 Stoughton Road,San Jose,CA,95160
true,true,false,false,false,Forester Luchetti,8000 Kipling Alley,Dayton,OH,45408
true,true,false,false,false,Clari Hobbing,8 Amoth Way,Fairfield,CT,06825
true,true,false,false,false,Modestia Weymont,56224 Raven Place,Detroit,MI,48224
false,true,false,true,false,Tybie Frantsev,8 Blue Bill Park Pass,Portland,OR,97240
false,true,false,true,false,Winfred McCooke,33 Di Loreto Drive,Toledo,OH,43666
false,true,false,true,false,Bertine Greenless,64 Stephen Plaza,Des Moines,IA,50936
true,true,false,false,false,Herta Cottie,512 Thackeray Hill,Oakland,CA,94611
true,true,false,false,false,Eydie Byers,9964 Corscot Hill,Little Rock,AR,72215
true,true,false,false,false,Hillel Occleshaw,8904 Dahle Center,Portland,OR,97255
true,true,false,false,false,Gordan Sallery,75762 Oriole Drive,Glendale,CA,91205
false,true,false,true,false,Gae Cant,5 Sloan Plaza,Nashville,TN,37250
false,true,false,true,false,Willabella Gillbanks,55053 Independence Crossing,Washington,DC,20591
true,false,true,true,false,Chrysa Ettridge,362 Chive Lane,Vancouver,WA,98682
true,false,true,true,false,Denny Bassingham,5562 Randy Road,Wichita,KS,67205
true,false,true,true,false,Tony Baterip,503 Melrose Drive,Bakersfield,CA,93305
false,true,true,false,true,Englebert Churcher,24833 Prairieview Park,Chicago,IL,60641
false,true,true,false,true,Kippie Siege,7 Lillian Court,Indianapolis,IN,46278
false,true,true,false,true,Albert Berryann,9779 Pankratz Point,North Little Rock,AR,72199
false,true,true,false,true,Burlie Doswell,18898 Harper Alley,Missoula,MT,59806
false,false,true,true,false,Cy Gronaver,535 Lindbergh Road,Canton,OH,44760
false,false,true,true,false,Denyse Rosencwaig,4255 Glendale Center,San Antonio,TX,78250
false,false,true,true,false,Alvy Sperski,19354 Express Place,Migrate,KY,41905
